;salaire_mensuel_cleaned;anciennete_emploi_cleaned;anciennete_bni_cleaned;categorie_employeur_cleaned_UNIQUEVAL;mensualite_cleaned;argent_journalier;taux_endettement_cleaned;salaire_vivable;nb_salaires_cleaned;age_end;age_cleaned;nature_CAP_cleaned_UNIQUEVAL;statut_marital_cleaned_UNIQUEVAL;conventionne_cleaned_UNIQUEVAL;type_contrat_cleaned;duree_pret_cleaned;target;code_DTX_cleaned_UNIQUEVAL
0;275800.0;73.0;30.0;1;90934.40637753607;6162.186454082132;32.971140818541;184865.59362246396;25.0;44.0;41.0;1;0;1;0;36;0;0
1;500000.0;28.0;25.0;1;164950.00000000006;11168.333333333336;32.99;335050.0;25.0;28.0;26.0;0;0;0;0;24;0;0
2;293674.06;86.0;46.0;1;94093.168824;6652.6963725333335;32.04;199580.891176;46.0;53.0;50.0;0;0;0;0;36;0;0
3;160000.0;42.0;24.0;0;52560.0;3581.333333333333;32.85;107440.0;22.0;24.0;22.0;0;2;0;0;24;0;0
4;382966.0;111.0;9.0;3;125850.3529797776;8570.521567340746;32.862017249515;257115.6470202224;1.0;42.0;37.0;0;0;0;0;60;0;0
66;160000.0;10.0;4.0;0;50800.0;3640.0;31.75;109200.0;2.0;40.0;38.0;0;0;0;0;24;1;1
103;347065.31;162.0;103.0;0;114010.95433500002;7768.478522166666;32.85;233054.355665;89.0;51.0;48.0;1;0;0;0;36;1;1
109;357028.39;38.0;27.0;1;116926.797725;8003.386409166666;32.75;240101.592275;27.0;28.0;26.0;0;1;0;0;24;1;1
116;228604.0;67.0;41.0;2;75439.32;5105.489333333333;33.0;153164.68;41.0;40.0;35.0;1;1;0;0;60;1;1
155;103229.91;44.0;5.0;0;34024.578336;2306.8443888;32.96;69205.331664;4.0;29.0;27.0;0;0;0;0;24;1;1
